Symbol
NSE:NBCC-EQ
NSE:SJVN-EQ
NSE:ENGINERSIN-EQ
NSE:NHPC-EQ
NSE:BPCL-EQ
NSE:CYIENT-EQ
NSE:IOC-EQ
NSE:ABBOTINDIA-EQ
NSE:ABCAPITAL-EQ
NSE:IOB-EQ
NSE:GMRINFRA-EQ
NSE:SAIL-EQ
NSE:MRPL-EQ
NSE:MCX-EQ
NSE:SWANENERGY-EQ
NSE:JSL-EQ
NSE:MMTC-EQ
NSE:RENUKA-EQ
NSE:PNB-EQ
NSE:PHOENIXLTD-EQ
NSE:EASEMYTRIP-EQ
NSE:LATENTVIEW-EQ
NSE:HINDPETRO-EQ
NSE:CASTROLIND-EQ
NSE:REDINGTON-EQ
NSE:JINDALSTEL-EQ
NSE:NMDC-EQ
NSE:CANFINHOME-EQ
NSE:POWERGRID-EQ
NSE:BANKINDIA-EQ
NSE:MEDANTA-EQ
NSE:INDIANB-EQ
NSE:CENTRALBK-EQ
NSE:KALYANKJIL-EQ
NSE:COFORGE-EQ
NSE:GODFRYPHLP-EQ
NSE:NATIONALUM-EQ
NSE:LODHA-EQ
NSE:ONGC-EQ
NSE:KPIL-EQ
NSE:VGUARD-EQ
NSE:GLAXO-EQ
NSE:EIHOTEL-EQ
NSE:ADANIPORTS-EQ
NSE:CDSL-EQ
NSE:KPITTECH-EQ
NSE:OLECTRA-EQ
NSE:MASTEK-EQ
NSE:NCC-EQ
NSE:UCOBANK-EQ
NSE:CHALET-EQ
NSE:KAYNES-EQ
NSE:MHRIL-EQ
NSE:RAIN-EQ
NSE:NTPC-EQ
NSE:BDL-EQ
NSE:COALINDIA-EQ
NSE:PEL-EQ
NSE:HINDCOPPER-EQ
NSE:TATACONSUM-EQ
NSE:TCS-EQ
NSE:UNIONBANK-EQ
NSE:TATASTEEL-EQ
NSE:HEROMOTOCO-EQ
NSE:POLYCAB-EQ
NSE:BHEL-EQ
NSE:EXIDEIND-EQ
NSE:JSWSTEEL-EQ
NSE:GRINFRA-EQ
NSE:JUBLPHARMA-EQ
NSE:ABFRL-EQ
NSE:POLYMED-EQ
NSE:KNRCON-EQ
NSE:CANBK-EQ
NSE:IRB-EQ
NSE:TVSMOTOR-EQ
NSE:WIPRO-EQ
NSE:PERSISTENT-EQ
NSE:SUNDARMFIN-EQ
NSE:MANAPPURAM-EQ
NSE:FIVESTAR-EQ
NSE:OIL-EQ
NSE:GAIL-EQ
NSE:AIAENG-EQ
NSE:UBL-EQ
NSE:LEMONTREE-EQ
NSE:VARROC-EQ
NSE:ZOMATO-EQ
NSE:RTNINDIA-EQ
NSE:NSLNISP-EQ
NSE:NAUKRI-EQ
NSE:LTIM-EQ
NSE:GICRE-EQ
NSE:BRIGADE-EQ
NSE:INFY-EQ
NSE:RELIANCE-EQ
NSE:ESCORTS-EQ
NSE:HINDALCO-EQ
NSE:BSOFT-EQ
NSE:CUMMINSIND-EQ
NSE:CENTURYTEX-EQ
NSE:WESTLIFE-EQ
NSE:HAVELLS-EQ
NSE:INDIGO-EQ
NSE:TECHM-EQ
NSE:FDC-EQ
NSE:NLCINDIA-EQ
NSE:GUJGASLTD-EQ
NSE:GRANULES-EQ
NSE:OFSS-EQ
NSE:DIXON-EQ
NSE:INFIBEAM-EQ
NSE:BAJAJFINSV-EQ
NSE:PFIZER-EQ
NSE:ULTRACEMCO-EQ
NSE:BIOCON-EQ
NSE:INTELLECT-EQ
NSE:SOLARINDS-EQ
NSE:IRCON-EQ
NSE:TTML-EQ
NSE:ARE&M-EQ
NSE:GLS-EQ
NSE:MAHABANK-EQ
NSE:SUPREMEIND-EQ
NSE:JAMNAAUTO-EQ
NSE:AVANTIFEED-EQ
NSE:BAJFINANCE-EQ
NSE:ANURAS-EQ
NSE:COLPAL-EQ
NSE:SANOFI-EQ
NSE:VEDL-EQ
NSE:CSBBANK-EQ
NSE:TV18BRDCST-EQ
NSE:BANDHANBNK-EQ
NSE:BAJAJHLDNG-EQ
NSE:L&TFH-EQ
NSE:RHIM-EQ
NSE:PETRONET-EQ
NSE:SIEMENS-EQ
NSE:CHOLAFIN-EQ
NSE:ZEEL-EQ
NSE:AFFLE-EQ
NSE:KEI-EQ
NSE:IGL-EQ
NSE:GPIL-EQ
NSE:ASAHIINDIA-EQ
NSE:KFINTECH-EQ
NSE:ALKEM-EQ
NSE:CIEINDIA-EQ
NSE:ATUL-EQ
NSE:PNCINFRA-EQ
NSE:MUTHOOTFIN-EQ
NSE:ORIENTELEC-EQ
NSE:MAHLIFE-EQ
NSE:DIVISLAB-EQ
NSE:TORNTPOWER-EQ
NSE:TRIDENT-EQ
NSE:BOSCHLTD-EQ
NSE:PFC-EQ
NSE:HAPPSTMNDS-EQ
NSE:NUVOCO-EQ
NSE:INDHOTEL-EQ
NSE:BAJAJ-AUTO-EQ
NSE:APOLLOTYRE-EQ
NSE:BALRAMCHIN-EQ
NSE:M&MFIN-EQ
NSE:HUDCO-EQ
NSE:TTKPRESTIG-EQ
NSE:NIACL-EQ
NSE:GPPL-EQ
NSE:MGL-EQ
NSE:METROBRAND-EQ
NSE:VOLTAS-EQ
NSE:DELHIVERY-EQ
NSE:EQUITASBNK-EQ
NSE:MAPMYINDIA-EQ
NSE:LICI-EQ
NSE:CREDITACC-EQ
NSE:GODREJPROP-EQ
NSE:LAURUSLABS-EQ
NSE:KANSAINER-EQ
NSE:SUZLON-EQ
NSE:KEC-EQ
NSE:CONCORDBIO-EQ
NSE:DRREDDY-EQ
NSE:JMFINANCIL-EQ
NSE:BHARATFORG-EQ
NSE:TRENT-EQ
NSE:LINDEINDIA-EQ
NSE:GLAND-EQ
NSE:CROMPTON-EQ
NSE:POWERINDIA-EQ
NSE:LICHSGFIN-EQ
NSE:TATAMTRDVR-EQ
NSE:BERGEPAINT-EQ
NSE:PCBL-EQ
NSE:UJJIVANSFB-EQ
NSE:ASTRAL-EQ
NSE:CRISIL-EQ
NSE:UPL-EQ
NSE:FORTIS-EQ
NSE:BALKRISIND-EQ
NSE:BEL-EQ
NSE:SUNPHARMA-EQ
NSE:RAMCOCEM-EQ
NSE:M&M-EQ
NSE:SCHAEFFLER-EQ
NSE:EMAMILTD-EQ
NSE:BEML-EQ
NSE:MCDOWELL-N-EQ
NSE:COROMANDEL-EQ
NSE:MOTHERSON-EQ
NSE:NESTLEIND-EQ
NSE:VIPIND-EQ
NSE:RECLTD-EQ
NSE:APOLLOHOSP-EQ
NSE:TORNTPHARM-EQ
NSE:BORORENEW-EQ
NSE:GRASIM-EQ
NSE:RADICO-EQ
NSE:ADANIGREEN-EQ
NSE:SONATSOFTW-EQ
NSE:SRF-EQ
NSE:IRCTC-EQ
NSE:SHYAMMETL-EQ
NSE:RAYMOND-EQ
NSE:INGERRAND-EQ
NSE:HCLTECH-EQ
NSE:SAFARI-EQ
NSE:METROPOLIS-EQ
NSE:CIPLA-EQ
NSE:KSB-EQ
NSE:TEAMLEASE-EQ
NSE:SHRIRAMFIN-EQ
NSE:SHOPERSTOP-EQ
NSE:APARINDS-EQ
NSE:WELCORP-EQ
NSE:LTTS-EQ
NSE:PGHL-EQ
NSE:BLUESTARCO-EQ
NSE:SBIN-EQ
NSE:JYOTHYLAB-EQ
NSE:HINDZINC-EQ
NSE:TRIVENI-EQ
NSE:HONAUT-EQ
NSE:ASIANPAINT-EQ
NSE:TATAPOWER-EQ
NSE:ZYDUSLIFE-EQ
NSE:PIDILITIND-EQ
NSE:AARTIIND-EQ
NSE:ROUTE-EQ
NSE:SBILIFE-EQ
NSE:APLLTD-EQ
NSE:CAMS-EQ
NSE:JBCHEPHARM-EQ
